AssayID,publication_DOI,AssayType,AssayName,medium_MediumID,medium_publication_DOI,material_MaterialID,material_publication_DOI
5,10.1016/j.neuro.2014.08.010,in vitro,reporter gene assay,1,10.1016/j.neuro.2014.08.010,1,10.1016/j.neuro.2014.08.010
5,10.1021/acs.est.5b01041,physical characterization,Electrophoretic Mobility,1,10.1021/acs.est.5b01041,2,10.1021/acs.est.5b01041
5,10.1021/acs.est.7b01477,physical characterization,Ultraviolet/visible spectroscopy,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
6,10.1016/j.neuro.2014.08.010,in vitro,reporter gene assay,1,10.1016/j.neuro.2014.08.010,2,10.1016/j.neuro.2014.08.010
6,10.1021/acs.est.5b01041,physical characterization,Electrophoretic Mobility,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
6,10.1021/acs.est.7b01477,physical characterization,Ultraviolet/visible spectroscopy,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
7,10.1016/j.neuro.2014.08.010,in vitro,reporter gene assay,2,10.1016/j.neuro.2014.08.010,3,10.1016/j.neuro.2014.08.010
7,10.1021/acs.est.5b01041,physical characterization,Electrophoretic Mobility,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
7,10.1021/acs.est.7b01477,physical characterization,Ultraviolet/visible spectroscopy,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
8,10.1016/j.neuro.2014.08.010,in vitro,reporter gene assay,2,10.1016/j.neuro.2014.08.010,4,10.1016/j.neuro.2014.08.010
8,10.1021/acs.est.5b01041,physical characterization,Electrophoretic Mobility,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
8,10.1021/acs.est.7b01477,physical characterization,Ultraviolet/visible spectroscopy,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
9,10.1016/j.neuro.2014.08.010,in vitro,reporter gene assay,1,10.1016/j.neuro.2014.08.010,1,10.1016/j.neuro.2014.08.010
9,10.1021/acs.est.5b01041,physical characterization,Electrophoretic Mobility,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
9,10.1021/acs.est.7b01477,physical characterization,Ultraviolet/visible spectroscopy,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
10,10.1016/j.neuro.2014.08.010,in vitro,reporter gene assay,1,10.1016/j.neuro.2014.08.010,2,10.1016/j.neuro.2014.08.010
10,10.1021/acs.est.5b01041,physical characterization,Electrophoretic Mobility,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
10,10.1021/acs.est.7b01477,physical characterization,Ultraviolet/visible spectroscopy,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
11,10.1016/j.neuro.2014.08.010,in vitro,reporter gene assay,2,10.1016/j.neuro.2014.08.010,3,10.1016/j.neuro.2014.08.010
11,10.1021/acs.est.5b01041,physical characterization,Electrophoretic Mobility,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
11,10.1021/acs.est.7b01477,physical characterization,Ultraviolet/visible spectroscopy,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
12,10.1016/j.neuro.2014.08.010,in vitro,reporter gene assay,2,10.1016/j.neuro.2014.08.010,4,10.1016/j.neuro.2014.08.010
12,10.1021/acs.est.5b01041,physical characterization,Electrophoretic Mobility,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
